PC,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,Forbs,Grasses,Mix,CTL,Tap,Forbs_1,Forbs_2,Forbs_3,Forbs_4,Forbs_5,Forbs_6,Forbs_7,Forbs_8,Forbs_9,Forbs_10,Grasses_1,Grasses_2,Grasses_3,Grasses_4,Grasses_5,Grasses_6,Grasses_7,Grasses_8,Grasses_9,Grasses_10,CTL_1,CTL_2,CTL_3,CTL_4,CTL_5,CTL_6,CTL_7,CTL_8,CTL_9,CTL_10,Tap_1,Tap_2,Tap_3,Tap_4,Tap_5
97,441.1974417,441.1964673,441.1980991,563.2098825,562.7934567,563.6172395,34,10,10,4,10,0,67303.77067,236184.3059,95427.19545,33602.8415,43338.74643,81478.91364,48123.89591,172943.2903,62815.896,104607.1543,53953.11626,73309.604,197966.4184,89231.56933,82299.13533,155124.9455,63678.0144,106748.7636,165116.4409,169200.9909,64030.07504,54642.89583,136200.8542,58558.69145,189370.2287,59538.336,75282.94924,79226.21714,47726.12676,85885.36818,NA,NA,NA,NA,NA
98,116.9283393,116.9278833,116.9288415,965.7663344,964.6285145,968.6748318,23,7,7,2,4,2,NA,59536.09725,NA,NA,90332.88562,56875.39437,70402.6752,44177.3904,66695.19912,35898.44821,60505.56992,106685.6356,NA,119362.704,NA,53344.18483,NA,106676.0261,98787.30995,42667.93304,77933.7945,NA,82951.85062,92060.52,NA,NA,NA,61144.188,NA,NA,NA,150766.5364,83482.0272,NA,NA
99,385.1502959,385.149542,385.1507401,679.3635681,679.0941815,679.6771763,10,3,7,0,0,0,31469.65958,NA,NA,NA,17820.167,NA,NA,9146.185778,NA,NA,18480.21133,41148.9936,NA,29721.84167,30755.1619,41071.88211,NA,28762.30383,NA,13370.3856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,297.1012337,297.1005051,297.1020886,768.4461948,768.0180784,768.7804258,32,10,8,4,10,0,34947.76765,92383.59339,59871.602,25869.67133,14432.40713,30782.12657,38757.58182,63021.18567,85339.116,80065.75304,NA,11746.24424,30226.08182,18414.98591,NA,16621.68579,10941.526,21501.03296,38402.7072,31353.12491,59323.211,85192.82727,75583.39842,60381.54922,146184.4727,70441.1136,134624.9624,75898.86705,100663.6906,170461.9693,NA,NA,NA,NA,NA
101,469.2111999,469.210417,469.2121224,1442.205574,1440.084211,1445.002898,28,10,10,4,4,0,400274.1857,209141.5523,169507.1664,124421.6688,133582.3632,148957.4179,33179.68861,324487.706,195323.3568,87877.47613,149303.6077,204705.7584,145630.7503,134498.5044,118425.9648,254945.38,47051.3472,173994.1632,155656.9872,161097.7972,21778.31818,NA,41167.40455,NA,32438.92854,NA,NA,NA,18012.5088,NA,NA,NA,NA,NA,NA
102,445.1749043,445.1560131,445.1867592,718.1776167,708.7244893,724.6466203,40,10,10,4,10,0,107266.2818,198825.715,95400.01965,72400.77313,48941.70743,83047.94091,83831.4048,182776.3838,134931.5131,147888.9417,45058.164,45315.55686,74850.34852,46267.77273,279.3648,66278.024,40560.996,87939.68791,91956.94091,82420.22435,109576.9572,94120.35909,145732.1637,99869.92914,153071.5243,110676.183,168789.3128,118692.7961,127017.0818,217136.2434,NA,NA,NA,NA,NA
103,579.2324611,579.2310288,579.2371624,623.0556177,622.5061851,628.1075785,35,10,10,4,10,0,76412.73229,148709.9244,95789.95295,69301.822,65280.97067,111520.3185,85974.70533,151245.4944,129907.3591,126238.7455,54834.97429,30023.37042,46983.3936,38870.14545,32687.5201,68916.07952,28687.34,74610.47273,51687.9792,60280.72076,96253.94648,64150.18591,194315.8989,91443.0555,71546.904,108388.4864,151162.6682,75798.93325,86033.95547,107322.7584,NA,NA,NA,NA,NA
104,385.1134476,385.0920145,385.1143216,661.8680677,659.33883,662.3603166,5,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5185.054615,14938.045,8174.039875,NA,12664.41495,343.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,507.1749807,507.1739831,507.1762138,541.0534073,540.6650375,541.5900378,34,10,10,4,10,0,90553.4595,210305.2101,102396.8494,38023.44562,58621.63182,67978.14091,60069.17273,208046.185,164443.003,209595.8528,46135.09571,64760.66683,117521.9273,49219.82273,28657.74091,65941.76291,28883.55455,47806.17517,102145.8406,108179.8155,120408.2117,67611.95571,122603.5276,114048.3934,175752.016,77752.91348,138361.0917,128449.5227,114528.5856,111202.6372,NA,NA,NA,NA,NA
106,381.1587409,381.1581493,381.159545,1181.900237,1178.785666,1183.551896,18,8,8,2,0,0,771370.9378,555456.8482,436146.3619,192752.6455,316668.0329,351592.6741,NA,629211.8976,398989.872,NA,278791.3031,386863.9793,369182.265,335278.2513,189007.7904,560015.0761,NA,407346.705,327098.4432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,216.1239552,216.123304,216.1243807,492.3728961,491.6280846,492.6626048,39,10,10,4,10,5,65952.97258,66560.8,49205.9568,56393.24767,63886.48522,65866.05548,71587.47419,45826.5495,54119.77273,57315.52227,63859.224,58995.7,95399.647,67589.001,73037.0784,54620.9327,71578.84358,65157.18636,69831.64,58206.23739,77788.9261,102752.7072,61270.48226,71063.07914,133779.1762,122072.808,71110.0225,90521.29276,68581.172,63473.63558,94492.11833,87773.49185,220939.7682,121445.1818,128708.2368
108,212.1295092,212.12867,212.1306072,926.4380092,925.9806243,927.1786686,3,0,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1120.277333,NA
109,665.3060749,665.3045491,665.3075922,807.6096547,807.3240721,807.8387356,33,9,10,4,10,0,65518.82713,117709.8365,81510.48636,55961.561,NA,64738.84173,66792.0739,105932.675,133038.6117,208488.0798,36356.44933,24558.71048,49508.6581,24659.95667,20366.1744,50593.75936,32722.60173,58205.38767,77933.84545,66167.12381,110810.3568,114939.0528,103252.8336,93559.27808,152097.4734,85406.70733,208362.1545,67188.9504,184449.7806,179788.3126,NA,NA,NA,NA,NA
110,274.1652867,274.1641798,274.167031,626.1403905,625.5350896,626.9114388,6,1,1,2,1,0,NA,NA,NA,NA,NA,NA,770.8272,NA,NA,NA,1007.6352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1113.968182,NA,NA,NA,NA,NA
111,215.1286821,215.1281825,215.1293814,827.1640657,826.818345,827.6682088,38,10,10,4,9,5,22424.0016,24657.707,20192.35304,21480.86067,24963.316,26788.77273,20602.65357,17594.65765,23282.02926,16828.68776,32137.34192,28927.52421,55236.63558,40990.05767,58129.88183,41371.94091,34177.2288,43415.85417,36781.75267,38440.48182,30327.652,25785.30909,23747.81967,26484.92632,54520.61181,45683.99765,NA,34185.4656,30013.07411,28883.72692,32850.48533,47791.074,76051.83636,30868.7808,37242.40235
112,228.1603705,228.1598609,228.1623364,792.8420968,792.3700869,799.2383044,39,10,10,4,9,5,52135.40817,39919.22981,38880.44091,63043.0944,69427.38678,67969.21818,61477.53592,44796.9245,48001.3248,46329.54545,87024.73182,56804.41125,84966.024,84512.30642,105341.808,94369.14438,76850.76364,81830.5488,73862.14067,102354.9769,75055.35433,82100.92467,62531.7264,63127.73291,76374.15042,101513.4744,NA,70420.5216,63731.04183,62310.43096,85682.64683,76836.9888,196538.9385,94233.1104,84724.40917
