SampleID,Species,Treatment,Replicate,F700,F735,Chl50,SFW,LFW,SDW,LDW,LA,SLA,SDMC,LDMC,Nleaf,Cleaf,CNleaf,Nshoot,Cshoot,CNshoot,Nroot,Croot,CNroot,RDWns,RDWs,RDW,PDW,SMF,RMF,Nuptake,TRLs,TPSAs,TSAs,TRVs,SRL,SRA,RTD,TRL,TSA,TRV,RLD,RSD,D
22,Dd,Soil,2,636,726,344,0.6291,0.0736,0.10577,0.01260,4.3646,346.3968254,16.81290733,17.11956522,5.08,43.85,8.6384,4.18987,42.279186,10.09081093,2.107447,46.396206,22.01536077,0,0.01546,0.01546,0.12123,0.87247381,0.12752619,0.004757437,1255.08916,19.04796291,59.85158293,0.290822277,81182.99867,3871.383113,0.053159614,1255.08916,59.85158293,0.290822277,0.687343461,0.032777428,0.151765815
23,Dd,Soil,3,606,798,458,1.0719,0.0541,0.24556,0.01278,3.7764,295.4929577,22.90885344,23.62292052,2.8,44.97,16.0544,2.532888,43.938568,17.34722104,1.226329,46.539734,37.95044723,0.04268,0.02245,0.06513,0.31069,0.790369822,0.209630178,0.007018468,1731.314514,26.17090952,82.23317491,0.374277536,77118.68657,3662.947657,0.059982227,5022.740056,238.5677809,1.085821645,2.750679111,0.130650482,0.151162075
24,Dd,Soil,4,456,647,454,1.6200,0.1342,0.35959,0.03311,7.2788,219.8369073,22.19691358,24.67213115,2.42,45.3,18.6959,2.005534,43.734776,21.8070479,0.828883,46.34193,55.90889185,0.07268,0.02201,0.09469,0.45428,0.791560271,0.208439729,0.007996569,1474.111866,26.13056339,82.10622984,0.458627855,66974.64178,3730.405717,0.04799098,6341.82883,353.2321174,1.973079127,3.473071649,0.193445847,0.177263097
25,Dd,Soil,5,487,612,497,1.6477,0.0582,0.32101,0.01183,3.7898,320.3550296,19.48230867,20.32646048,3.51,46.23,13.1756,3.001777,43.707924,14.56068322,1.60245,46.505062,29.021225,0.06669,0.02067,0.08736,0.40837,0.786076352,0.213923648,0.011035905,1600.952558,24.65224813,77.45931361,0.370671034,77452.95394,3747.42688,0.055763731,6766.290056,327.3752122,1.566609653,3.70552577,0.179285439,0.153984876
26,Dd,Soil,6,496,712,505,1.4600,0.1060,0.30219,0.02398,6.0551,252.5062552,20.69794521,22.62264151,3.36,45.63,13.5813,2.92013,43.647038,14.94695031,1.463212,46.888828,32.04513632,0.06893,0.0264,0.09533,0.39752,0.760188167,0.239811833,0.010219221,1952.965389,27.65323825,86.8852781,0.392577385,73975.96169,3291.109019,0.067247888,7052.128428,313.7414228,1.417590989,3.862063761,0.171818961,0.141596151
27,Dd,Soil,7,588,728,417,1.4428,0.0533,0.33643,0.01217,3.2401,266.2366475,23.31785417,22.83302064,2.12,45.4,21.3762,1.912078,44.038261,23.03162371,1.136849,46.291397,40.71903744,0.08621,0.02264,0.10885,0.44528,0.755547072,0.244452928,0.007670264,1595.457368,26.49730493,83.26152007,0.435517747,70470.73181,3677.628978,0.051984104,7670.739158,400.3099143,2.093909309,4.200842912,0.219227773,0.16607968
28,Dd,Soil,8,438,588,443,1.6805,0.0663,0.35161,0.01422,4.4071,309.9226442,20.9229396,21.4479638,2.91,45.96,15.7772,2.514612,44.518787,17.70403824,1.421296,46.5913355,32.78088132,0.06157,0.02221,0.08378,0.43539,0.807574818,0.192425182,0.010032389,1516.459446,26.81486967,84.25517086,0.456178458,68278.22811,3793.569152,0.048687086,5720.349951,317.8252235,1.720784836,3.132721769,0.174055435,0.176825498
29,Dd,Soil,9,472,592,395,1.4703,0.0560,0.33286,0.01243,3.7483,301.5526951,22.63891723,22.19642857,2.17,44.73,20.5712,1.8060135,43.5145205,24.09423878,1.222619,46.047123,37.66269214,0.07849,0.02397,0.10246,0.43532,0.764632914,0.235367086,0.007264192,1619.227908,26.69892113,83.88929745,0.448802349,67552.26982,3499.762096,0.053408811,6921.405565,358.5856244,1.918410041,3.790474023,0.196377669,0.16488674
30,Dd,Soil,10,560,723,427,1.7600,0.0986,0.36655,0.02343,6.0777,259.3982074,20.82670455,23.76267748,3.09,45.14,14.5869,2.363798,43.89402,18.56927707,1.28502,46.009293,35.80434001,0.06778,0.02998,0.09776,0.46431,0.789451013,0.210548987,0.009920737,1964.779218,29.77219195,93.54775982,0.445541723,65536.33149,3120.338887,0.067288872,6406.831767,305.0443296,1.452840522,3.50867019,0.16705604,0.151529453
31,Fr,Forbs,1,838,1100,424,1.9390,0.4762,0.48188,0.13309,14.3929,108.144113,24.85198556,27.94834103,1.45,43.09,29.7209,,,,0.822488,47.545479,57.80689688,0.17979,0.01634,0.19613,0.67801,0.71072698,0.28927302,0.008600406,1619.283923,19.88627057,62.47928987,0.222740241,99099.38329,3823.70195,0.073358994,19436.36204,749.9426635,2.673564472,10.64422894,0.410702444,0.122809041
